Category,,Imp,Imp,Imp,Imp,Imp,Imp,Imp,,Dom,Dom,Dom,Dom,Dom,Dom,Dom,,,Imp,Dom,,Imp,Dom,,Imp,Dom,,,,,,
Subcategory,,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,∑∑,C_HSLD,C_HSLD,∑,C_Ap,C_Ap,∑,FBCF,FBCF,∑,EXP,EXP_TRANSP,∑,,∑∑∑
CI_dom,MANUFACTURE,73481.110505,2269393.54421,1011108.11919,29066.4826245,50943.0789864,84893.509365,61962.1871224,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,SERVICES,76411.4164237,1566690.17213,5042753.23641,31481.544526,114927.768382,172651.999918,257913.735427,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,STEEL,215.734019045,89673.5274831,12216.7174362,23461.6511225,848.21601952,1788.65614945,656.376282304,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,CHEMICAL,11166.2212992,106255.08917,56755.0559512,1477.40750472,60499.6670069,15232.0836449,2342.55685001,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,ENERGY,24553.3506067,176046.796841,203785.50323,10517.1211034,24871.1262632,274594.407441,42404.5032305,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,TRANSPORTATION,7223.85866681,167393.446377,297004.757955,8689.21936269,14817.738614,37749.7878651,101740.091633,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,∑,237903.79609495497,4582747.579065099,6657253.452308301,104725.824653275,273395.3076478,590799.0550394899,470104.948947764,,,,,,,,,,,,,,,,,,,,,,,,
CI,∑∑,262162.70017243834,5114127.098957586,7103026.596148989,117496.13506843269,346445.5981306414,789414.0185974932,549298.0793406463,,,,,,,,,,,,,,,,,,,,,,,,
VA,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VA,Labor,53277.36343204,1963544.3238375,5743550.927890999,31153.6110277,77153.48430042999,131658.96997988,375212.3680579,,,,,,,,,,,,,,,,,,,,,,,,
VA,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VA,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VA,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VA,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VA,Capital,227700.64109650228,1293019.141737572,4628051.65222544,23041.931987239048,136357.5733393781,232446.805449568,228372.1481946205,,,,,,,,,,,,,,,,,,,,,,,,
VA,NatRes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VA,∑,280978.0045285423,3256563.465575072,10371602.58011644,54195.543014939045,213511.0576398081,364105.775429448,603584.5162525205,,,,,,,,,,,,,,,,,,,,,,,,
M,IMP,77993.49972785624,842423.4351742932,583343.8519045507,23213.09826811146,156353.47142461015,263528.91274911235,133401.1140366653,,,,,,,,,,,,,,,,,,,,,,,,
M,IMP_TRANSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
M,∑,77993.49972785624,842423.4351742932,583343.8519045507,23213.09826811146,156353.47142461015,263528.91274911235,133401.1140366653,,,,,,,,,,,,,,,,,,,,,,,,
Tax,Prod,-59839.4739564,15869.5346747,118189.879088,-15.9702707692,1987.19546447,11147.5709804,-5818.66721434,,,,,,,,,,,,,,,,,,,,,,,,
Tax,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,Labor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,NatRes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,∑,-59839.4739564,15869.5346747,118189.879088,-15.9702707692,1987.19546447,11147.5709804,-5818.66721434,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,AGRICULTURE,175.03035206553528,97.16315495217249,107.68343510441608,0.09411362559929348,232.42434704511632,31.008988236482875,78.5748229820217,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,MANUFACTURE,1071.0250086159326,5184.497374631691,2322.5523177186337,48.978073874957026,2383.757755705888,293.62274286987383,1988.674612678932,,,,,,,,,,,,,,,,,,,,,,,,
