dummy,dummy,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5,pop_SDP,pop_SDP_EI,pop_SDP_MC,pop_SDP_RC,pop_SSP2EU
2090,CHA,369.2438,449.2496,664.2128,325.22,363.0483,369.2438,369.2438,369.2438,369.2438,442.6128404
2090,IND,731.35,909.6712,1315.7357,640.7713,725.4738,731.35,731.35,731.35,731.35,909.67094755
2090,JPN,26.3319,36.8141,45.1522,27.3331,28.87,26.3319,26.3319,26.3319,26.3319,36.7944926
2090,USA,183.6685,258.6964,269.6779,198.6552,231.3721,183.6685,183.6685,183.6685,183.6685,259.28199306
2095,LAM,249.5331,347.3761,607.6935,272.1673,222.9523,249.5331,249.5331,249.5331,249.5331,346.71117132
2095,OAS,558.1942,823.7727,1325.1273,892.814,516.683,558.1942,558.1942,558.1942,558.1942,823.80156521
2095,SSA,848.1454,1696.4882,2699.6058,2531.921,829.8205,848.1454,848.1454,848.1454,848.1454,1695.55988568
2095,EUR,183.1565,267.4515,306.2155,203.9531,218.7747,183.1565,183.1565,183.1565,183.1565,256.24140279
2095,NEU,46.304,60.9411,88.2552,43.6323,48.028,46.304,46.304,46.304,46.304,60.94935922
2095,MEA,289.9004,430.7666,700.4248,475.0433,278.8715,289.9004,289.9004,289.9004,289.9004,429.87920533
2095,REF,120.7673,150.9125,192.6919,116.4766,130.5357,120.7673,120.7673,120.7673,120.7673,150.94499208
2095,CAZ,38.3463,54.9331,45.7299,43.4523,51.7449,38.3463,38.3463,38.3463,38.3463,54.78977695
2095,CHA,343.2158,425.4406,659.3685,297.3255,336.9365,343.2158,343.2158,343.2158,343.2158,419.14490743
2095,IND,686.8803,873.3918,1326.7547,588.3084,680.7739,686.8803,686.8803,686.8803,686.8803,873.39155762
2095,JPN,24.5206,35.5516,44.4298,25.6571,27.1491,24.5206,24.5206,24.5206,24.5206,35.53266501
2095,USA,178.1568,260.5078,276.7602,195.3426,227.1165,178.1568,178.1568,178.1568,178.1568,261.0974934
2100,LAM,230.1048,330.834,613.8954,253.4531,203.765,230.1048,230.1048,230.1048,230.1048,330.18198051
2100,OAS,517.3432,793.6666,1344.7973,879.058,475.5372,517.3432,517.3432,517.3432,517.3432,793.69719504
2100,SSA,799.8697,1681.5393,2803.6681,2608.0629,781.0302,799.8697,799.8697,799.8697,799.8697,1680.63103793
2100,EUR,176.3065,266.9666,312.1782,199.7678,212.318,176.3065,176.3065,176.3065,176.3065,254.27032034
2100,NEU,43.8536,59.1911,89.2151,41.2158,45.6662,43.8536,43.8536,43.8536,43.8536,59.19914235
