"Model","Scenario","Region","Variable","Energy consumers","Energy uses","Unit",2020
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","ENERGY","T",,4.31937229566166
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","ENERGY","B",,0.236122444296883
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","STEEL","P",,0.619010712258363
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","STEEL","T",,4.31937229566166
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","STEEL","B",,0.236122444296883
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","CHEMICAL","P",,0.902193096821552
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","CHEMICAL","T",,4.31937229566166
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","CHEMICAL","B",,0.236122444296883
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","TRANSPORTATION","P",,0.66472136790536
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","TRANSPORTATION","T",,2.07378535045464
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","TRANSPORTATION","B",,0.236122444296883
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","HOUSEHOLDS","P",,0.66472136790536
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","HOUSEHOLDS","T",,4.31937229566166
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Rho","HOUSEHOLDS","B",,0.236122444296883
