variable_name,row_label,col_label,2020,2025,2030,2035,2040,2045,2050
rhoE,HOUSEHOLDS,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
Xj,ENERGY,,1.0,0.053991387047988795,0.038156378125971786,0.03204730868963542,0.029779400032359446,0.028896812966016462,0.0285821545984157
Mj,ENERGY,,1.0,0.7293763996117899,0.5749762589329199,0.4858648824795729,0.36904319952004855,0.27736631320867106,0.18985461948788135
"rhoM",,,1,0.973236909505313,0.997188682913741,0.965779135346069,0.966724670525729,0.976121745669108,0.986451514463761
"rhoX",,,1,0.451702924313926,0.468793953336214,0.488921147756788,0.464397301767579,0.445072303686925,0.433499552802863
"a_Ej","AGRICULTURE","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","ENERGY","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","MANUFACTURE","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","CHEMICAL","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","STEEL","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","SERVICES","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","TRANSPORTATION","CH",1,0.942099028101616,0.875471178404132,0.797539338040922,0.719828912457414,0.665101002650114,0.614419042232159
"a_Ej","AGRICULTURE","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","ENERGY","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","MANUFACTURE","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","CHEMICAL","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","STEEL","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","SERVICES","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","TRANSPORTATION","FRE",1,1.02217080754358,0.955780253364128,0.811705906828462,0.677550412605134,0.600838387172608,0.554742722278391
"a_Ej","AGRICULTURE","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","ENERGY","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","MANUFACTURE","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","CHEMICAL","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","STEEL","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","SERVICES","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","TRANSPORTATION","IND",1,0.916849519543196,0.823748354744409,0.728970997108529,0.656077061980532,0.597374453507741,0.540846208134593
"a_Ej","AGRICULTURE","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","ENERGY","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","MANUFACTURE","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","CHEMICAL","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","STEEL","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","SERVICES","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","TRANSPORTATION","PAS",1,0.94574909778713,0.852920815635647,0.714239676806627,0.590665140479247,0.506992578225164,0.449225487993562
"a_Ej","AGRICULTURE","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
